Judul,Tanggal,Subjudul,Link
"Friedrich Merz Kanselir Baru Jerman, Cetak Sejarah di Parlemen",,,http://www.kompas.com/global/read/2025/05/07/201551970/friedrich-merz-kanselir-baru-jerman-cetak-sejarah-di-parlemen
"Orang Indonesia Disebut Paling Bahagia di Dunia, Benarkah?",,,http://www.kompas.com/global/read/2025/05/05/144715670/orang-indonesia-disebut-paling-bahagia-di-dunia-benarkah
"Israel Blokir Bantuan, Situasi di Gaza Makin Mencekam",,,http://www.kompas.com/global/read/2025/05/05/134710470/israel-blokir-bantuan-situasi-di-gaza-makin-mencekam
Warga Gaza Tolak Skema Bantuan AS-Israel karena Melanggar Martabat,,,https://www.kompas.com/global/read/2025/05/11/171700770/warga-gaza-tolak-skema-bantuan-as-israel-karena-melanggar-martabat
"Gajah Muda Mati Tertabrak Truk Saat Menyeberang Jalan, Induknya Setia Menemani",,,https://www.kompas.com/global/read/2025/05/11/191700470/gajah-muda-mati-tertabrak-truk-saat-menyeberang-jalan-induknya-setia
"Merasa Dimanipulasi, Trump Putus Kontak Langsung dengan Netanyahu",,,https://www.kompas.com/global/read/2025/05/12/072444470/merasa-dimanipulasi-trump-putus-kontak-langsung-dengan-netanyahu
"AS-China Mulai Berunding, Ini Alasannya Baru Terjadi Sekarang",,,https://www.kompas.com/global/read/2025/05/11/200700170/as-china-mulai-berunding-ini-alasannya-baru-terjadi-sekarang
"Negosiasi AS-China Capai Kemajuan, Sinyal Perang Dagang Mereda?",,,https://www.kompas.com/global/read/2025/05/12/082137070/negosiasi-as-china-capai-kemajuan-sinyal-perang-dagang-mereda
Paus Leo XIV Serukan Perdamaian Dunia dari Balkon Basilika Santo Petrus,,,https://www.kompas.com/global/read/2025/05/11/183010870/paus-leo-xiv-serukan-perdamaian-dunia-dari-balkon-basilika-santo-petrus
"Gencatan Senjata India-Pakistan Masih Rentan, Terjadi Lagi Ledakan di Kashmir",,,https://www.kompas.com/global/read/2025/05/11/151100570/gencatan-senjata-india-pakistan-masih-rentan-terjadi-lagi-ledakan-di
"Zelensky Tantang Putin Bertemu di Turkiye, Terima Ajakan Dialog Langsung",,,https://www.kompas.com/global/read/2025/05/12/063141070/zelensky-tantang-putin-bertemu-di-turkiye-terima-ajakan-dialog-langsung
"Putin Tawarkan Perundingan Damai ke Ukraina, Zelensky Minta Gencatan Senjata Dulu",,,https://www.kompas.com/global/read/2025/05/11/162700270/putin-tawarkan-perundingan-damai-ke-ukraina-zelensky-minta-gencatan
"Jam 17.00 WIB, Paus Leo XIV Akan Sapa Umat Lewat Doa Regina Caeli dari Balkon Basilika",,,https://www.kompas.com/global/read/2025/05/11/164737970/jam-1700-wib-paus-leo-xiv-akan-sapa-umat-lewat-doa-regina-caeli-dari
